"","signature","repository","script","text-height","text-width","text-src","illustrations","date_min","date_max","leaf-height","leaf-width","leaf-src","number-lines","material","physical-type","country","region","columns"
"589","Manchester, John Rylands University Library, Ryl. fr. 1 (2 vols) [vol. 1]","Manchester, John Rylands University Library","textualis",NA,NA,NA,64,1300,1320,"398","283","current",44,"parchment","codex","Southern Netherlands","Flanders",2
"590","Budapest, National Library, Fragm. 59","Budapest, National Library",NA,135,174,"original",0,1300,1325,"157","198","current",27,"parchment","fragment",NA,NA,2
"591","Paris, Bibliothèque Nationale de France, impr. 614-618 [impr. 618]","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,1494,1494,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"592","Gotha, Forschungsbibliothek, Memb. I 133","Gotha, Forschungsbibliothek","textualis",320,250,"original",0,1300,1350,"475","365","current",36,"parchment","fragment",NA,NA,2
"593","Reykjavik, Landsbókasafn Íslands, lbs 3127 4to","Reykjavik, Landsbókasafn Íslands",NA,NA,NA,NA,0,1800,1825,NA,NA,NA,NA,NA,NA,NA,NA,NA
"594","Berkeley, UCB, 73","Berkeley, UCB","textualis",NA,NA,NA,0,NA,NA,NA,NA,NA,40,"parchment","codex",NA,NA,2
"595","Krakau, Biblioteka Jagiellonska, mgq 1409","Krakau, Biblioteka Jagiellonska",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"596","Bologna, Archivio della Fabbriceria della chiesa di S. Petronio,","Bologna, Archivio della Fabbriceria della chiesa di S. Petronio","textualis",255,160,"original",1,1290,1310,"323","235","current",40,"parchment","fragment",NA,NA,2
"597","Montpellier, Bibliothèque de Médecine, H 249","Montpellier, Bibliothèque de Médecine","textualis",200,145,"original",55,1275,1300,"293","220","current",40,"parchment","codex","France","Ile-de-France",2
"598","Paris, Bibliothèque Nationale de France, nouv. acq. fr. 1263","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"parchment","fragment",NA,NA,NA
"599","Krakau, Biblioteka Jagiellonska, Berol. mgq 672","Krakau, Biblioteka Jagiellonska",NA,150,115,"original",0,1290,1310,"160","140","current",28,"parchment","fragment",NA,NA,2
"600","Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 42.7 Aug. 4o","Wolfenbüttel, Herzog August Bibliothek",NA,NA,NA,NA,0,1450,1500,NA,NA,NA,NA,"parchment","codex",NA,NA,NA
"601","Vienna, Österreichische Nationalbibliothek, 2539 - 2540 [2540]","Vienna, Österreichische Nationalbibliothek","cursive",NA,NA,NA,0,1466,1466,"490","350","current",64,"parchment","codex",NA,NA,2
"602","Paris, Bibliothèque Nationale de France, fr. 768","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,1220,1237,"343","249","current",40,"parchment","codex","France","Burgundy",2
"603","Kopenhagen, Dansk Folkemindesamling, 25 4o","Kopenhagen, Dansk Folkemindesamling",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"604","Paris, Bibliothèque Mazarine, 3886","Paris, Bibliothèque Mazarine","cursive",NA,NA,NA,0,1400,1500,"403","283","current",39,"paper","codex",NA,NA,2
"605","Liège, Archives de l'État, Reg. 366","Liège, Archives de l'État",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"fragment",NA,NA,NA
"606","Baltimore, Johns Hopkins University, Nikulás Ottenson Colection, Ms. 1","Baltimore, Johns Hopkins University",NA,NA,NA,NA,0,1798,1798,NA,NA,NA,NA,NA,NA,NA,NA,NA
"607","Reykjavik, Árni Magnússon-institutet, AM 489, 4o","Reykjavik, Árni Magnússon-institutet",NA,NA,NA,NA,0,1440,1460,NA,NA,NA,NA,"parchment","codex",NA,NA,NA
"608","Paris, Bibliothèque Nationale de France, fr. 1553","Paris, Bibliothèque Nationale de France","textualis",220,145,"original",24,1275,1300,"264","180","current",44,"parchment","codex","France","Cambrai",2
"609","Munich, Staatsbibliothek, cgm. 61","Munich, Staatsbibliothek","textualis",180,145,"original",0,1225,1250,"220","160","current",33,"parchment","codex","Germany","Bayern",2
"610","Bologna, Archivio di Stato, busta 1 bis, no.9","Bologna, Archivio di Stato",NA,NA,NA,NA,1,1290,1310,NA,NA,NA,NA,"parchment","fragment","Southern Netherlands","Ghent",NA
"611","Kopenhagen, Kongelige Bibliotek, Ny kgl. saml. 1708, 4o","Kopenhagen, Kongelige Bibliotek",NA,NA,NA,NA,0,1750,1800,NA,NA,NA,NA,"paper","codex",NA,NA,NA
"612","Paris, Bibliothèque Nationale de France, fr. 111","Paris, Bibliothèque Nationale de France","hybrida",NA,NA,NA,0,1455,1475,"511","339","current",68,"parchment","codex","France","Poitiers",2
"613","Venice, Biblioteca Marciana, graec. Cl.II, XVII","Venice, Biblioteca Marciana",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"parchment","fragment","Italy","Veneto",NA
"614","Reykjavik, Árni Magnússon-institutet, AM 181 b fol. (beta)","Reykjavik, Árni Magnússon-institutet",NA,NA,NA,NA,0,1640,1660,NA,NA,NA,NA,"paper","codex",NA,NA,NA
"615","Aberystwyth, National Library of Wales, 446-E","Aberystwyth, National Library of Wales",NA,NA,NA,NA,37,1275,1300,"375","247","current",NA,"parchment","codex","Italy","Naples",2
"616","London, British Library, Egerton 2515","London, British Library",NA,NA,NA,NA,1,1300,1325,"267","170","current",42,"parchment","codex",NA,NA,2
"617","Cambridge, Corpus Christi College, 80","Cambridge, Corpus Christi College",NA,NA,NA,NA,0,1425,1425,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"618","Madrid, Biblioteca Nacional, 22021","Madrid, Biblioteca Nacional",NA,NA,NA,NA,0,1500,1525,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"619","Paris, Bibliothèque Nationale de France, fr. 24367","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,1200,1300,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"620","Paris, Bibliothèque Nationale de France, fr. 1422-1424 [fr. 1424]","Paris, Bibliothèque Nationale de France","textualis",NA,NA,NA,32,1320,1340,NA,NA,NA,37,"parchment","codex","Southern Netherlands","Tournai",2
"621","Paris, Bibliothèque Nationale de France, impr. 614-618 [impr. 614]","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,1494,1494,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"622","Graz, Landesarchiv, Germ. 6 / 1","Graz, Landesarchiv",NA,280,175,"original",0,1340,1360,"350","240","current",47,NA,"fragment",NA,NA,2
"623","Innsbruck, Universitätsbibliothek, Fragment B.4","Innsbruck, Universitätsbibliothek",NA,NA,NA,NA,0,1290,1310,NA,NA,NA,NA,"parchment","fragment","Italy","North-Italy",NA
"624","Berlin, Staatsbibliothek, Hamilton 581","Berlin, Staatsbibliothek",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"625","Solothurn, Staatsarchiv, F 31 (A) [R 1.4.234.(1)]","Solothurn, Staatsarchiv",NA,180,127,"original",0,1275,1300,"50","290","original",68,"parchment","fragment",NA,NA,3
"626","Rouen, Bibliothèque Municipale, 1054 (05)","Rouen, Bibliothèque Municipale","textualis",NA,NA,NA,0,1275,1300,"335","225","current",41,"parchment","codex",NA,NA,2
"627","Münster, Studien- und Zentralbibliothek der Franziskaner, -","Münster, Studien- und Zentralbibliothek der Franziskaner","textualis",290,195,"original",0,1325,1350,"390","270","original",52,"parchment","fragment","Southern Netherlands","West Flanders",2
"628","Vienna, Österreichische Nationalbibliothek, 2675","Vienna, Österreichische Nationalbibliothek","textualis",260,200,"original",0,1290,1310,"310","245","current",42,"parchment","codex","Germany","Bayern",2
"629","Paris, Bibliothèque Nationale de France, fr. 356-357 [fr. 357]","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,80,1425,1445,"440","316","current",52,NA,"codex","France","Paris",2
"630","Innsbruck, Landesmuseum Ferdinandeum, FB 1519/VIII","Innsbruck, Landesmuseum Ferdinandeum",NA,190,135,"original",0,1300,1325,"220","160","original",38,"parchment","fragment",NA,NA,2
"631","Oxford, Bodleian Library, Douce d.6","Oxford, Bodleian Library","textualis",NA,NA,NA,0,1240,1260,NA,NA,NA,39,"parchment","codex",NA,NA,2
"632","Düsseldorf, Landes- und Stadtbibliothek, F 26, b","Düsseldorf, Landes- und Stadtbibliothek","textualis",250,165,"original",0,1275,1300,"348","245","current",56,"parchment","fragment","Southern Netherlands","Mechelen",3
"633","Turin, Biblioteca Nazionale, R. 1622 (L.I. 7-9) [vol. 2]","Turin, Biblioteca Nazionale",NA,NA,NA,NA,0,1400,1500,NA,NA,NA,40,"parchment","codex",NA,NA,NA
"634","Modena, Archivio di Stato, fragments b. 11, n.13","Modena, Archivio di Stato",NA,NA,NA,NA,0,1290,1310,"350","240","current",54,"parchment","fragment",NA,NA,2
"635","Colmar, Bibliothèque Municipale, 850, 1 [31]","Colmar, Bibliothèque Municipale","textualis",180,135,"original",0,1250,1300,"210","150","current",68,"parchment","fragment",NA,NA,3
"636","London, British Library, Egerton 989","London, British Library","cursive",NA,NA,NA,0,1475,1475,"292","205","current",31,"paper","codex",NA,NA,1
"637","Dortmund, Stadt- und Landesbibliothek, 168","Dortmund, Stadt- und Landesbibliothek",NA,202,118,"original",0,1240,1260,"225","145","current",49,"parchment","fragment","Germany","Bayern",2
"638","Prague, Nationalni Knihovna, Fragm. germ. 36","Prague, Nationalni Knihovna",NA,140,100,"original",0,1250,1300,"170","130","original",27,NA,"fragment",NA,NA,2
"639","Heidelberg, Universitätsbibliothek, Cpg 371","Heidelberg, Universitätsbibliothek","cursive",NA,NA,NA,2,1420,1420,"245","182","current",26,"paper","codex","Germany","Strassburg",1
"640","Paris, Bibliothèque Nationale de France, fr. 1469","Paris, Bibliothèque Nationale de France","cursive",NA,NA,NA,0,1400,1500,"268","188","current",33,"paper","codex",NA,NA,1
"641","Florence, Biblioteca della Fondazione Ezio Franceschini, MS 1","Florence, Biblioteca della Fondazione Ezio Franceschini","textualis",NA,NA,NA,0,1350,1400,NA,NA,NA,NA,"parchment","fragment","Italy","Tuscany (Florence)",2
"642","Stockholm, Kungliga Biblioteket, SKB Pap. 4o  17","Stockholm, Kungliga Biblioteket",NA,NA,NA,NA,0,1600,1700,NA,NA,NA,NA,"paper","codex",NA,NA,NA
"643","Florence, Biblioteca Nazionale, J.7.4","Florence, Biblioteca Nazionale","textualis",NA,NA,NA,0,1275,1300,NA,NA,NA,NA,"parchment","fragment",NA,NA,2
"644","Neuenstein, Hohenlohe-Zentralarchiv, HD. V 1","Neuenstein, Hohenlohe-Zentralarchiv",NA,NA,NA,NA,0,1467,1467,NA,NA,NA,NA,"paper","fragment",NA,NA,NA
"645","London, British Library, Add. 11157","London, British Library",NA,NA,NA,NA,0,1761,1761,NA,NA,NA,28,"paper","codex",NA,NA,1
"646","Reykjavik, Árni Magnússon-institutet, AM 948 a-1, 4o","Reykjavik, Árni Magnússon-institutet",NA,NA,NA,NA,0,1700,1800,NA,NA,NA,NA,"paper","codex",NA,NA,NA
"647","Paris, Bibliothèque Nationale de France, fr. 2164","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,269,1290,1310,"205","160","current",37,"parchment","codex","France","South-France",2
"648","Cologne, Stadthistorisches Archiv, W*88","Cologne, Stadthistorisches Archiv","cursive",NA,NA,NA,7,1323,1323,"215","135","current",NA,"parchment","codex","Germany","Niederrhein",2
"649","Würzburg, Staatsarchiv, -","Würzburg, Staatsarchiv","textualis",NA,NA,NA,0,1250,1300,NA,NA,NA,51,"parchment","fragment","Germany","East-Frankisch",3
"650","Paris, Bibliothèque Nationale de France, fr. 12577","Paris, Bibliothèque Nationale de France","textualis",264,164,"original",52,1330,1330,"320","224","current",45,"parchment","codex","France","Paris",2
"651","Hamburg, Staats- und Universitätsbibliothek, cod. hebr. 289","Hamburg, Staats- und Universitätsbibliothek",NA,NA,NA,NA,0,1500,1600,NA,NA,NA,NA,NA,"fragment","Germany","Strassburg",NA
"652","New York, Pierpont Morgan Library, M 819","New York, Pierpont Morgan Library","textualis",NA,NA,NA,67,1285,1300,"263","194","current",27,"parchment","codex","Italy","Venice",2
"653","Florence, Biblioteca Laurenziana, Plut. 89, inf. 62","Florence, Biblioteca Laurenziana",NA,NA,NA,NA,0,1200,1300,NA,NA,NA,NA,"paper","codex",NA,NA,NA
"654","Stockholm, Kungliga Biblioteket, K 13","Stockholm, Kungliga Biblioteket",NA,NA,NA,NA,0,1640,1660,NA,NA,NA,NA,NA,NA,NA,NA,NA
"655","St Paul im Lavanttal, Stiftsbibliothek, 7/8","St Paul im Lavanttal, Stiftsbibliothek",NA,180,142,"original",0,1240,1260,"200","170","original",28,NA,"fragment",NA,NA,1
"656","Munich, Staatsbibliothek, cgm. 191","Munich, Staatsbibliothek",NA,120,80,"original",0,1240,1260,"152","115","current",26,"parchment","fragment",NA,NA,1
"657","Berlin, Staatsbibliothek, germ. qu. 672 [lost in WW II]","Berlin, Staatsbibliothek",NA,NA,NA,NA,0,1290,1310,NA,NA,NA,31,"parchment","fragment",NA,NA,2
"658","Brussels, Koninklijke Bibliotheek, 7235","Brussels, Koninklijke Bibliotheek","cursive",180,120,"original",0,1460,1467,"296","210","current",24,"paper","codex","France","Lille",1
"659","Munich, Archiv der Deutschen Provinz der Jesuiten, Abt. 0 Nr. xxviii, 2 (2)","Munich, Archiv der Deutschen Provinz der Jesuiten",NA,NA,NA,NA,0,1340,1360,"290","230","current",47,NA,"fragment",NA,NA,2
"660","Kassel, Landesbibliothek, Poet. et Roman. 8o. 11","Kassel, Landesbibliothek","textualis",130,90,"original",0,1240,1260,"160","115","original",35,NA,"fragment",NA,NA,1
"661","Paris, Bibliothèque Nationale de France, fr. 335 - 336 [fr. 335]","Paris, Bibliothèque Nationale de France","cursive",NA,NA,NA,0,1400,1400,"370","260","current",44,"parchment","codex","France","Paris",2
"662","Vienna, Österreichische Nationalbibliothek, 14052","Vienna, Österreichische Nationalbibliothek","textualis",245,178,"original",0,1340,1360,"315","230","current",41,"parchment","fragment",NA,NA,2
"663","Udine, Biblioteca Arcivescovile, 177","Udine, Biblioteca Arcivescovile","textualis",NA,NA,NA,33,1290,1320,"355","250","current",35,"parchment","codex","Italy","Naples",2
"664","Edinburgh, National Library of Scotland, Advocates 19.2.1 (Auchinleck MS)","Edinburgh, National Library of Scotland","textualis",NA,NA,NA,0,1320,1340,"250","180","current",44,"parchment","codex","England","London area",2
"665","Oxford, Bodleian Library, Douce d 13","Oxford, Bodleian Library",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"parchment","fragment",NA,NA,NA
"666","Oxford, Bodleian Library, Digby 223","Oxford, Bodleian Library",NA,229,166,"original",12,1270,1290,"349","246","current",NA,"parchment","codex","Southern Netherlands","Arras",NA
"667","Friesach, Private Collection,","Friesach, Private Collection",NA,NA,NA,NA,0,1300,1350,NA,NA,NA,42,"parchment","fragment",NA,NA,2
"668","The Hague, Koninklijke Bibliotheek, 129 A 10","The Hague, Koninklijke Bibliotheek","textualis",250,160,"original",0,1320,1325,"290","201","current",60,"parchment","codex","Southern Netherlands","Brabant",3
"669","Florence, Biblioteca Nazionale, Nuovi Acquisti 333 ('Kirkup codex')","Florence, Biblioteca Nazionale",NA,NA,NA,NA,0,1370,1390,NA,NA,NA,NA,NA,"codex","Italy","Tuscan",NA
"670","Paris, Bibliothèque Nationale de France, n.a.fr. 9603","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,1275,1300,NA,NA,NA,NA,NA,"fragment",NA,NA,NA
"671","Göttingen, Staats- und Universitätsbibliothek, philol. 187","Göttingen, Staats- und Universitätsbibliothek",NA,150,93,"original",0,1250,1300,"200","140","original",29,"parchment","fragment",NA,NA,2
"672","Heidelberg, Universitätsbibliothek, Cpg 349","Heidelberg, Universitätsbibliothek",NA,190,130,"original",0,1275,1300,"234","150","current",37,NA,"codex",NA,NA,2
"673","Rennes, Bibliothèque Municipale, 593","Rennes, Bibliothèque Municipale",NA,NA,NA,NA,0,1303,1304,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"674","Vatican, Biblioteca Apostolica Vaticana, Vat. lat. 1501","Vatican, Biblioteca Apostolica Vaticana",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"675","Florence, Biblioteca Laurenziana, Plut. 89, inf. 61","Florence, Biblioteca Laurenziana",NA,NA,NA,NA,0,1200,1225,NA,NA,NA,NA,"parchment","codex","Italy","Florence",2
"676","Oxford, Bodleian Library, Douce e.40","Oxford, Bodleian Library",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"fragment",NA,NA,NA
"677","Paris, Bibliothèque Nationale de France, fr. 759","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,20,1250,1300,"350","240","current",NA,"parchment","codex","Italy","Genoa",2
"678","Wolfenbüttel, Herzog August Bibliothek, Cod. 19.26.9 Aug. 4o","Wolfenbüttel, Herzog August Bibliothek",NA,170,100,"original",0,1240,1260,"220","140","original",23,NA,"fragment",NA,NA,1
"679","Munich, Staatsbibliothek, cgm. 51","Munich, Staatsbibliothek","textualis",205,130,"original",30,1240,1250,"240","160","current",44,NA,"codex","Germany","Schwaben",2
"680","Bremen, Staatsbibliothek, b.42","Bremen, Staatsbibliothek",NA,170,120,"original",0,1356,1356,"206","147","current",36,"paper","codex",NA,NA,2
"681","Paris, Bibliothèque de l' Arsenal, 3479-3480 [3479]","Paris, Bibliothèque de l' Arsenal",NA,NA,NA,NA,0,1405,1405,"460","313","current",60,NA,"codex","France","Paris",2
"682","Florence, Archivio di Stato, Misc. Rep., busta xx, n.4","Florence, Archivio di Stato",NA,NA,NA,NA,0,1340,1360,"340","235","current",NA,"parchment","fragment",NA,NA,2
"683","Vatican, Biblioteca Apostolica Vaticana, Urb. lat. 953","Vatican, Biblioteca Apostolica Vaticana","cursive",NA,NA,NA,0,1600,1650,NA,NA,NA,NA,"paper","codex","Italy","Florence",1
"684","Vienna, Österreichische Nationalbibliothek, ser. nova 2693","Vienna, Österreichische Nationalbibliothek",NA,200,135,"original",0,1300,1350,"202","151","current",35,"parchment","fragment",NA,NA,2
"685","Vienna, Österreichische Nationalbibliothek, 2539 - 2540 [2539]","Vienna, Österreichische Nationalbibliothek","cursive",NA,NA,NA,0,1466,1466,"490","350","current",64,"parchment","codex",NA,NA,2
"686","Paris, Bibliothèque Nationale de France, fr. 772","Paris, Bibliothèque Nationale de France","textualis",NA,NA,NA,1,1275,1300,"320","230","current",40,"parchment","codex","France","Paris",2
"687","Kopenhagen, Kongelige Bibliotek, Thott 1087","Kopenhagen, Kongelige Bibliotek",NA,NA,NA,NA,0,1400,1500,NA,NA,NA,NA,NA,"codex","France","St. Omer, Flanders",NA
"688","Paris, Bibliothèque Nationale de France, fr. 121","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,1,1450,1475,"460","320","current",40,"parchment","codex","Southern Netherlands","Bruges",2
"689","Reykjavik, Árni Magnússon-institutet, AM 543, 4o","Reykjavik, Árni Magnússon-institutet",NA,NA,NA,NA,0,1675,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA
"690","Toulouse, University Library, 19","Toulouse, University Library","textualis",NA,NA,NA,0,1200,1300,"320","210","current",NA,"parchment","fragment","France","Central France",NA
"691","Geneva, Bodmer, 96 (2 vols.) (ex-Phillipps 8344)","Geneva, Bodmer","textualis",250,180,"original",104,1410,1430,"357","255","current",50,"parchment","codex",NA,NA,2
"692","Nottingham, University Library, Middleton L.M.6","Nottingham, University Library","textualis",210,120,"original",87,1250,1300,"290","300","current",48,"parchment","codex",NA,NA,2
"693","Heidelberg, Private Collection, 63","Heidelberg, Private Collection",NA,30,115,"original",0,1300,1325,"70","160","current",43,"parchment","fragment",NA,NA,2
"694","Paris, Bibliothèque Nationale de France, n.a.fr. 1119","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,1275,1280,"8","350","current",48,"parchment","codex","France","Paris",2
"695","Madrid, Biblioteca Nacional, 20262/19","Madrid, Biblioteca Nacional",NA,NA,NA,NA,1,1400,1410,NA,NA,NA,NA,NA,"fragment",NA,NA,NA
"696","Cardiff, Cardiff Free Library, 6","Cardiff, Cardiff Free Library",NA,NA,NA,NA,0,1540,1560,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"697","Paris, Bibliothèque Nationale de France, fr. 353","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"parchment","codex",NA,NA,NA
"698","Munich, Universitätsbibliothek, 8o Cod. ms. 154 (cim. 80b), Fragm. II","Munich, Universitätsbibliothek",NA,135,88,"original",0,1290,1310,"140","118","original",29,NA,"fragment",NA,NA,1
"699","Berlin, Staatsbibliothek, germ. fol. 744","Berlin, Staatsbibliothek",NA,NA,NA,NA,0,1340,1360,"240","145","original",37,"parchment","fragment",NA,NA,2
"700","Bruges, Stadsarchief, Adornes-Jeruzalemstichting  244","Bruges, Stadsarchief","textualis",NA,NA,NA,0,1225,1250,"215","60","current",33,"parchment","fragment","France","North-East France",2
"701","London, British Library, Add. 23929","London, British Library","textualis",218,158,"original",15,1375,1400,"340","238","current",44,"parchment","codex","Italy","Padua, North-East Italy",2
"702","Berlin, Staatsbibliothek, germ. fol. 923, 39","Berlin, Staatsbibliothek","textualis",240,207,"original",0,1290,1310,"280","235","original",48,"parchment","fragment",NA,NA,3
"703","Rome, Biblioteca Angelica, 2313","Rome, Biblioteca Angelica",NA,NA,NA,NA,0,1375,1400,NA,NA,NA,NA,NA,"fragment",NA,NA,NA
"704","Paris, Bibliothèque Nationale de France, fr. 9123","Paris, Bibliothèque Nationale de France","textualis",NA,NA,NA,167,1315,1335,"432","320","current",47,"parchment","codex","France","Paris",3
"705","Heidelberg, Universitätsbibliothek, 3650","Heidelberg, Universitätsbibliothek",NA,256,171,"original",0,1350,1400,"341","236","current",36,"parchment","fragment",NA,NA,2
"706","Chantilly, Musée Condé, 476","Chantilly, Musée Condé",NA,NA,NA,NA,0,1200,1300,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"707","Milan, Biblioteca Ambrosiana, Ambrosiana N.95 superiore","Milan, Biblioteca Ambrosiana",NA,NA,NA,NA,0,1430,1430,NA,NA,NA,NA,"paper","codex","Italy","Lombard",NA
"708","Paris, Bibliothèque Nationale de France, fr. 1466","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,1275,1300,"302","211","current",40,"parchment","codex",NA,NA,2
"709","Reykjavik, Landsbókasafn Íslands, Lbs 1508, 4o","Reykjavik, Landsbókasafn Íslands",NA,NA,NA,NA,0,1800,1900,NA,NA,NA,NA,"paper","codex",NA,NA,NA
"710","Princeton, University Library, Garrett 125","Princeton, University Library","textualis",244,178,"original",15,1290,1300,"290","230","current",42,"parchment","codex","France","Arras, North-East France",2
"711","Aberystwyth, National Library of Wales, Peniarth 1 (Black Book of Carmarthen)","Aberystwyth, National Library of Wales","textualis",NA,NA,NA,0,NA,NA,NA,NA,NA,11,"parchment","codex",NA,NA,1
"712","London, British Library, Royal 20 D III","London, British Library",NA,NA,NA,NA,0,1300,1325,"340","230","current",42,"parchment","codex",NA,NA,2
"713","Paris, Bibliothèque Nationale de France, fr. 337","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"714","Modena, Archivio di Stato, fragments b.11, n.9","Modena, Archivio di Stato",NA,NA,NA,NA,0,NA,NA,"300","210","current",NA,NA,"fragment",NA,NA,NA
"715","Carpentras, Bibliothèque Municipale, 404","Carpentras, Bibliothèque Municipale","cursive",NA,NA,NA,0,1300,1400,"355","250","current",50,"parchment","codex",NA,NA,2
"716","London, ,","London,",NA,NA,NA,NA,0,1430,1450,NA,NA,NA,NA,"parchment","fragment","France","Paris",NA
"717","London, Lincoln's Inn, 150","London, Lincoln's Inn","cursive",255,55,"original",0,1375,1425,"310","130","current",56,"parchment","codex","England","Wenlock Priory, Shropshire",1
"718","Aberystwyth, National Library of Wales, Peniarth 4 (White book of Rhydderch)","Aberystwyth, National Library of Wales","textualis",175,115,NA,0,1340,1360,"210","150","current",NA,"parchment","codex","Wales","Strate Florida Abbey",2
"719","Reykjavik, Landsbókasafn Íslands, Lbs 413, 4o","Reykjavik, Landsbókasafn Íslands",NA,NA,NA,NA,0,1700,1800,NA,NA,NA,NA,"paper","codex",NA,NA,NA
"720","Vienna, Österreichische Nationalbibliothek, Cod. vind. 3037/38","Vienna, Österreichische Nationalbibliothek",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"721","Paris, Bibliothèque Nationale de France, fr. 343","Paris, Bibliothèque Nationale de France","textualis",NA,NA,NA,122,1380,1385,"392","274","current",NA,"parchment","codex","Italy","Milan",2
"722","Klagenfurt, Universitätsbibliothek, 47","Klagenfurt, Universitätsbibliothek","textualis",175,132,"original",0,1300,1350,"210","140","current",30,"parchment","fragment",NA,NA,2
"723","Brussels, Private Collection, ex-Lannoy","Brussels, Private Collection","textualis",395,235,"original",0,1250,1275,"448","266","original",64,"parchment","codex","France","North-East France",3
"724","Munich, Staatsbibliothek, cgm. 5249 / 8a","Munich, Staatsbibliothek","textualis",220,165,"original",0,1290,1310,"300","245","original",34,"parchment","fragment",NA,NA,2
"725","Paris, Bibliothèque Nationale de France, nouv. acq. fr. 4166","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,1301,1301,"240","175","current",31,"parchment","codex",NA,NA,2
"726","Salzburg, Universitätsbibliothek, M I 376","Salzburg, Universitätsbibliothek","textualis",NA,NA,NA,0,1200,1225,"212","160","current",NA,"parchment","fragment",NA,NA,2
"727","Berlin, Staatsbibliothek, germ. fol. 734, 8","Berlin, Staatsbibliothek","textualis",195,140,"original",0,1240,1260,"230","160","current",36,"parchment","fragment",NA,NA,2
"728","Lindau, Stadtarchiv, P II 61","Lindau, Stadtarchiv","cursive",NA,NA,NA,0,1521,1521,"210","150","current",NA,"paper","codex","Germany","Schwaben",1
"729","Brussels, Koninklijke Bibliotheek, IV 852","Brussels, Koninklijke Bibliotheek","textualis",195,120,"original",0,1250,1275,"254","157","current",40,"parchment","fragment","France","North-East France",2
"730","Munich, Staatsbibliothek, cgm. 5249 / 31","Munich, Staatsbibliothek","textualis",150,95,"original",0,1200,1225,"188","125","current",25,"parchment","fragment",NA,NA,1
"731","Paris, Bibliothèque de l' Arsenal, 3483-94 [3494]","Paris, Bibliothèque de l' Arsenal",NA,NA,NA,NA,0,1400,1500,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"732","Sankt Gallen, Stiftsbibliothek, Cod. 857","Sankt Gallen, Stiftsbibliothek","textualis",260,165,"original",2,1250,1270,"315","215","current",51,"parchment","codex","Germany","South-Germany",2
"733","Berlin, Staatsbibliothek, germ. fol. 734, 9","Berlin, Staatsbibliothek","textualis",185,130,"original",0,1250,1300,"240","164","original",35,"parchment","fragment",NA,NA,2
"734","Lincoln, Cathedral Library, A.5.2","Lincoln, Cathedral Library",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"735","Vienna, Österreichische Nationalbibliothek, 2881","Vienna, Österreichische Nationalbibliothek",NA,225,139,"original",0,1400,1500,NA,NA,NA,32,"paper","codex",NA,NA,2
"736","Paris, Bibliothèque Nationale de France, fr. 344","Paris, Bibliothèque Nationale de France",NA,272,203,"original",344,1250,1300,"382","278","current",54,"parchment","codex","France","Metz",2
"737","Klagenfurt, Landesarchiv, 6/27","Klagenfurt, Landesarchiv","textualis",225,162,"original",0,1300,1350,"300","220","current",43,"parchment","fragment",NA,NA,2
